Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
bungi-x-bobby-rabbit-hardware-unisex-hoodie,BUNGI X BOBBY RABBIT HARDWARE Unisex Hoodie,"<p>Who knew that the softest hoodie you'll ever own comes with such a cool design. You won't regret buying this classic streetwear piece of apparel with a convenient pouch pocket and warm hood for chilly evenings.<br><br>• 100% cotton face<br>• 65% ring-spun cotton, 35% polyester<br>• Front pouch pocket<br>• Self-fabric patch on the back<br>• Matching flat drawstrings<br>• 3-panel hood<br>• Blank product sourced from Pakistan<br><br>Disclaimer: This hoodie runs small. For the perfect fit, we recommend ordering one size larger than your usual size.<br><br>This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!</p>
<p><strong class=""size-guide-title"">Size guide</strong></p>
<div data-unit-system=""imperial"" class=""table-responsive dynamic"">
<table cellpadding=""5"">
<tbody>
<tr>
<td> </td>
<td><strong>CHEST WIDTH (inches)</strong></td>
<td><strong>LENGTH (inches)</strong></td>
</tr>
<tr>
<td><strong>S</strong></td>
<td>20</td>
<td>27</td>
</tr>
<tr>
<td><strong>M</strong></td>
<td>21</td>
<td>28</td>
</tr>
<tr>
<td><strong>L</strong></td>
<td>23</td>
<td>29</td>
</tr>
<tr>
<td><strong>XL</strong></td>
<td>25</td>
<td>30</td>
</tr>
<tr>
<td><strong>2XL</strong></td>
<td>26 ½</td>
<td>31</td>
</tr>
<tr>
<td><strong>3XL</strong></td>
<td>28</td>
<td>32</td>
</tr>
</tbody>
</table>
</div>",My Store,Uncategorized,"","",false,Color,Black,,Size,S,,,,,9004018_10779,487.61179775,shopify,deny,manual,50.00,,true,true,,https://cdn.shopify.com/s/files/1/0701/3947/8183/files/unisex-premium-hoodie-black-front-683f9d11a7936.png?v=1748999462,1,Product mockup,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/3947/8183/files/unisex-premium-hoodie-black-front-683f9d11a7936.png?v=1748999462,oz,PC040100,45.79,active
bungi-x-bobby-rabbit-hardware-unisex-hoodie,,,,,,,,,Black,,,M,,,,,9004018_10780,532.97103475,shopify,deny,manual,50.00,,true,true,,https://cdn.shopify.com/s/files/1/0701/3947/8183/files/unisex-premium-hoodie-black-back-683f9d11a9742.png?v=1748999463,2,Product mockup,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/3947/8183/files/unisex-premium-hoodie-black-front-683f9d11a7936.png?v=1748999462,oz,PC040100,45.79,
bungi-x-bobby-rabbit-hardware-unisex-hoodie,,,,,,,,,Black,,,L,,,,,9004018_10781,566.9904625,shopify,deny,manual,50.00,,true,true,,https://cdn.shopify.com/s/files/1/0701/3947/8183/files/unisex-premium-hoodie-navy-blazer-front-683f9d11ab4fe.png?v=1748999463,3,Product mockup,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/3947/8183/files/unisex-premium-hoodie-black-front-683f9d11a7936.png?v=1748999462,oz,PC040100,45.79,
bungi-x-bobby-rabbit-hardware-unisex-hoodie,,,,,,,,,Black,,,XL,,,,,9004018_10782,609.5147471875,shopify,deny,manual,50.00,,true,true,,https://cdn.shopify.com/s/files/1/0701/3947/8183/files/unisex-premium-hoodie-navy-blazer-back-683f9d11ae0c4.png?v=1748999462,4,Product mockup,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/3947/8183/files/unisex-premium-hoodie-black-front-683f9d11a7936.png?v=1748999462,oz,PC040100,45.79,
bungi-x-bobby-rabbit-hardware-unisex-hoodie,,,,,,,,,Black,,,2XL,,,,,9004018_10783,683.2235073125,shopify,deny,manual,53.00,,true,true,,https://cdn.shopify.com/s/files/1/0701/3947/8183/files/unisex-premium-hoodie-maroon-front-683f9d11b1d12.png?v=1748999463,5,Product mockup,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/3947/8183/files/unisex-premium-hoodie-black-front-683f9d11a7936.png?v=1748999462,oz,PC040100,47.79,
bungi-x-bobby-rabbit-hardware-unisex-hoodie,,,,,,,,,Black,,,3XL,,,,,9004018_13416,708.738078125,shopify,deny,manual,55.00,,true,true,,https://cdn.shopify.com/s/files/1/0701/3947/8183/files/unisex-premium-hoodie-maroon-back-683f9d11b64a3.png?v=1748999462,6,Product mockup,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/3947/8183/files/unisex-premium-hoodie-black-front-683f9d11a7936.png?v=1748999462,oz,PC040100,49.79,
bungi-x-bobby-rabbit-hardware-unisex-hoodie,,,,,,,,,Navy Blazer,,,S,,,,,9004018_11491,487.61179775,shopify,deny,manual,50.50,,true,true,,https://cdn.shopify.com/s/files/1/0701/3947/8183/files/unisex-premium-hoodie-charcoal-heather-front-683f9d11bbc17.png?v=1748999463,7,Product mockup,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/3947/8183/files/unisex-premium-hoodie-navy-blazer-front-683f9d11ab4fe.png?v=1748999463,oz,PC040100,45.79,
bungi-x-bobby-rabbit-hardware-unisex-hoodie,,,,,,,,,Navy Blazer,,,M,,,,,9004018_11492,532.97103475,shopify,deny,manual,50.50,,true,true,,https://cdn.shopify.com/s/files/1/0701/3947/8183/files/unisex-premium-hoodie-charcoal-heather-back-683f9d11c14f8.png?v=1748999462,8,Product mockup,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/3947/8183/files/unisex-premium-hoodie-navy-blazer-front-683f9d11ab4fe.png?v=1748999463,oz,PC040100,45.79,
bungi-x-bobby-rabbit-hardware-unisex-hoodie,,,,,,,,,Navy Blazer,,,L,,,,,9004018_11493,566.9904625,shopify,deny,manual,50.50,,true,true,,https://cdn.shopify.com/s/files/1/0701/3947/8183/files/unisex-premium-hoodie-vintage-black-front-683f9d11c724f.png?v=1748999462,9,Product mockup,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/3947/8183/files/unisex-premium-hoodie-navy-blazer-front-683f9d11ab4fe.png?v=1748999463,oz,PC040100,45.79,
bungi-x-bobby-rabbit-hardware-unisex-hoodie,,,,,,,,,Navy Blazer,,,XL,,,,,9004018_11494,609.5147471875,shopify,deny,manual,50.50,,true,true,,https://cdn.shopify.com/s/files/1/0701/3947/8183/files/unisex-premium-hoodie-vintage-black-back-683f9d11ce1c5.png?v=1748999463,10,Product mockup,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0701/3947/8183/files/unisex-premium-hoodie-navy-blazer-front-683f9d11ab4fe.png?v=1748999463,oz,PC040100,45.79,
